Name,Reserved Variable (Theory/Docs),Reserved Variable (Code)
Parameter vector OR Parameters,\theta,\theta
Parameter vector size OR Number of parameters,p,N_par OR p
Ensemble size,J,N_ens OR J
Ensemble (elements OR particles OR members), \theta^{(j)},
Number of iterations,I,N_iter
(Observation OR Data) vector OR Observations,y,y
(Observation OR Data) vector size,d,d OR N_obs OR N_dat
(Observational OR Data) covariance,\Gamma_y,\Gamma_y OR obs_noise_cov
Hilbert space inner product, "\langle \phi , \Gamma^{-1} \psi\rangle",N/A
Forward map,\mathcal{G},G
Dynamical model,\Psi,F_dyn OR dyn_model
(Observational OR Data) noise,\eta,obs_noise
Prior covariance,\Gamma_{\theta},prior_cov
Prior mean,\mu_\theta,prior_mean

